"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","22","","test_centre","TestApiAuto","","","content70字符英文","信息录入-content"
"failed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","27","","test_centre","TestApiAuto","","","messageCode参数值为空","信息录入-MessageCode"
"failed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","52","","test_centre","TestApiAuto","","","areas参数不填","信息录入-areas"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","20","","test_centre","TestApiAuto","","","content70字符中文","信息录入-content"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","26","","test_centre","TestApiAuto","","","content1字符中文","信息录入-content"
"passed","Tue Nov 03 17:29:20 CST 2020","Tue Nov 03 17:29:21 CST 2020","669","","test_centre","TestApiAuto","","","新增敏感词1个字符","敏感词维护-冒烟"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","19","","test_centre","TestApiAuto","","","content70字符中英数字混合","信息录入-content"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","29","","test_centre","TestApiAuto","","","areas11个","信息录入-areas"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","25","","test_centre","TestApiAuto","","","新增敏感词20字节数字","敏感词维护-新增"
"passed","Tue Nov 03 17:29:23 CST 2020","Tue Nov 03 17:29:23 CST 2020","61","","test_centre","TestApiAuto","","","终审",""
"failed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","27","","test_centre","TestApiAuto","","","areas不在570-580","信息录入-areas"
"failed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","25","","test_centre","TestApiAuto","","","不选地区","信息录入-areas"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","20","","test_centre","TestApiAuto","","","content1字符数字","信息录入-content"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:23 CST 2020","246","","test_centre","TestApiAuto","","","初审",""
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","24","","test_centre","TestApiAuto","","","areas=580","信息录入-areas"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","20","","test_centre","TestApiAuto","","","信息录入","业务流程"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","12","","test_centre","TestApiAuto","","","敏感词参数不填","敏感词维护-修改"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","12","","test_centre","TestApiAuto","","","content含有敏感词","信息录入-content"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","38","","test_centre","TestApiAuto","","","敏感词为空","敏感词维护-新增"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","13","","test_centre","TestApiAuto","","","已经存在的敏感词","敏感词维护-新增"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","42","","test_centre","TestApiAuto","","","content1字符英文","信息录入-content"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","33","","test_centre","TestApiAuto","","","修改敏感词为1个字符","敏感词维护-修改"
"failed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:22 CST 2020","32","","test_centre","TestApiAuto","","","messageCode不正确","信息录入-MessageCode"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","289","","test_centre","TestApiAuto","","","信息录入-冒烟","信息录入"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","27","","test_centre","TestApiAuto","","","新增敏感词20字节英文","敏感词维护-新增"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","18","","test_centre","TestApiAuto","","","修改敏感词20字节数字","敏感词维护-修改"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","18","","test_centre","TestApiAuto","","","content包含特殊字符","信息录入-content"
"passed","Tue Nov 03 17:29:20 CST 2020","Tue Nov 03 17:29:20 CST 2020","49","","test_centre","TestApiAuto","","","新增一个终审","审核人员信息-新增"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","25","","test_centre","TestApiAuto","","","修改敏感词20字节英文","敏感词维护-修改"
"passed","Tue Nov 03 17:29:19 CST 2020","Tue Nov 03 17:29:20 CST 2020","661","","test_centre","TestApiAuto","","","新增一个初审","审核人员信息-新增"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","10","","test_centre","TestApiAuto","","","修改敏感词为已存在的","敏感词维护-修改"
"failed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","23","","test_centre","TestApiAuto","","","content为空","信息录入-content"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","45","","test_centre","TestApiAuto","","","content70字符数字","信息录入-content"
"failed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","24","","test_centre","TestApiAuto","","","messgageCode参数不填","信息录入-MessageCode"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","11","","test_centre","TestApiAuto","","","修改敏感词为空","敏感词维护-修改"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","13","","test_centre","TestApiAuto","","","content含有敏感词，中间加空格","信息录入-content"
"passed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","23","","test_centre","TestApiAuto","","","areas=570","信息录入-areas"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","26","","test_centre","TestApiAuto","","","修改敏感词为20字节中文","敏感词维护-修改"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","11","","test_centre","TestApiAuto","","","敏感词参数不填","敏感词维护-新增"
"passed","Tue Nov 03 17:29:21 CST 2020","Tue Nov 03 17:29:21 CST 2020","29","","test_centre","TestApiAuto","","","新增敏感词20字节中文","敏感词维护-新增"
"passed","Tue Nov 03 17:29:23 CST 2020","Tue Nov 03 17:29:23 CST 2020","39","","test_centre","TestApiAuto","","","发布",""
"failed","Tue Nov 03 17:29:22 CST 2020","Tue Nov 03 17:29:22 CST 2020","20","","test_centre","TestApiAuto","","","content参数不填","信息录入-content"
